technique_id,ruleset_phase,class,rule_id,count
-,-,unlabelled,92219,430
-,-,unlabelled,92217,238
-,-,unlabelled,92203,206
-,-,unlabelled,92032,201
-,-,unlabelled,92307,178
-,-,unlabelled,92052,104
-,-,unlabelled,92213,78
-,-,unlabelled,92004,63
-,-,unlabelled,60642,61
-,-,unlabelled,92027,58
-,-,unlabelled,100200,47
-,-,unlabelled,60608,44
-,-,unlabelled,61104,43
-,-,unlabelled,92201,33
-,-,unlabelled,92036,31
-,-,unlabelled,60646,27
-,-,unlabelled,92200,27
-,-,unlabelled,60118,22
-,-,unlabelled,60808,17
-,-,unlabelled,92033,17
-,-,unlabelled,100271,16
-,-,unlabelled,60132,16
-,-,unlabelled,61102,15
-,-,unlabelled,60798,14
-,-,unlabelled,60805,13
-,-,unlabelled,60807,13
-,-,unlabelled,60809,13
-,-,unlabelled,503,12
-,-,unlabelled,100240,12
-,-,unlabelled,67028,11
-,-,unlabelled,60668,11
-,-,unlabelled,60776,11
-,-,unlabelled,60775,11
-,-,unlabelled,60702,7
-,-,unlabelled,92080,5
-,-,unlabelled,92035,5
-,-,unlabelled,92034,5
-,-,unlabelled,92005,5
-,-,unlabelled,60612,4
-,-,unlabelled,60602,3
-,-,unlabelled,100270,2
-,-,unlabelled,506,2
-,-,unlabelled,60610,2
-,-,unlabelled,92061,2
-,-,unlabelled,92057,2
-,-,unlabelled,100201,2
-,-,unlabelled,61138,1
-,-,unlabelled,100230,1
-,-,unlabelled,100232,1
-,-,unlabelled,100231,1
-,-,unlabelled,100233,1
-,-,unlabelled,60104,1
-,-,unlabelled,60122,1
-,-,unlabelled,100241,1
-,-,unlabelled,100250,1
-,-,unlabelled,100252,1
-,-,unlabelled,100251,1
-,-,unlabelled,61640,1
-,-,unlabelled,501,1
T1016,baseline,attack,92032,23
T1016,baseline,attack,92052,15
T1016,baseline,attack,92036,5
T1016,baseline,attack,92004,1
T1016,baseline,benign,92032,12
T1016,baseline,benign,92004,4
T1016,custom,attack,100250,18
T1016,custom,attack,92052,15
T1016,custom,attack,100251,10
T1016,custom,attack,92032,5
T1016,custom,attack,100252,5
T1016,custom,attack,92004,1
T1016,custom,benign,100250,12
T1016,custom,benign,92004,4
T1033,baseline,attack,92032,93
T1033,baseline,attack,92022,19
T1033,baseline,attack,92219,16
T1033,baseline,attack,92027,15
T1033,baseline,attack,92052,10
T1033,baseline,attack,92036,5
T1033,baseline,attack,61104,4
T1033,baseline,attack,60608,3
T1033,baseline,benign,92032,10
T1033,baseline,benign,92004,5
T1033,baseline,benign,60642,2
T1033,custom,attack,92032,90
T1033,custom,attack,92022,20
T1033,custom,attack,92052,10
T1033,custom,attack,100241,10
T1033,custom,attack,100240,5
T1033,custom,attack,92027,5
T1033,custom,attack,92036,5
T1033,custom,attack,61104,1
T1033,custom,attack,60642,1
T1033,custom,benign,100240,10
T1033,custom,benign,92004,5
T1053.005,baseline,attack,92032,12
T1053.005,baseline,attack,92027,12
T1053.005,baseline,attack,92052,4
T1053.005,baseline,attack,92004,4
T1053.005,baseline,benign,92032,15
T1053.005,baseline,benign,92004,10
T1053.005,baseline,benign,92027,5
T1053.005,baseline,benign,60642,1
T1053.005,custom,attack,100270,15
T1053.005,custom,attack,100271,13
T1053.005,custom,attack,92052,7
T1053.005,custom,attack,92004,5
T1053.005,custom,attack,92027,5
T1053.005,custom,attack,92032,3
T1053.005,custom,benign,92004,8
T1053.005,custom,benign,92032,8
T1053.005,custom,benign,100270,4
T1053.005,custom,benign,92027,4
T1053.005,custom,benign,61104,4
T1053.005,custom,benign,60132,3
T1053.005,custom,benign,60805,1
T1053.005,custom,benign,60807,1
T1053.005,custom,benign,60808,1
T1053.005,custom,benign,60809,1
T1053.005,custom,benign,60798,1
T1053.005,custom,benign,92213,1
T1053.005,custom,benign,60702,1
T1059.001,baseline,attack,92027,21
T1059.001,baseline,attack,92071,15
T1059.001,baseline,attack,92052,10
T1059.001,baseline,attack,92070,5
T1059.001,baseline,attack,92057,5
T1059.001,baseline,attack,92032,5
T1059.001,baseline,benign,92027,10
T1059.001,baseline,benign,92057,5
T1059.003,baseline,attack,92032,15
T1059.003,baseline,attack,92052,10
T1059.003,baseline,attack,92004,5
T1059.003,baseline,attack,92213,5
T1059.003,baseline,attack,92005,5
T1059.003,baseline,attack,100240,5
T1059.003,baseline,benign,92004,10
T1059.003,baseline,benign,92032,5
T1082,baseline,attack,92032,75
T1082,baseline,attack,92052,65
T1082,baseline,attack,92027,5
T1082,baseline,attack,61104,2
T1082,baseline,benign,92032,15
T1082,baseline,benign,92004,10
T1082,baseline,benign,60702,1
T1082,custom,attack,92052,65
T1082,custom,attack,92032,56
T1082,custom,attack,100232,31
T1082,custom,attack,100231,16
T1082,custom,attack,100230,6
T1082,custom,attack,100233,6
T1082,custom,attack,60642,2
T1082,custom,attack,92004,2
T1082,custom,attack,61104,1
T1082,custom,attack,92217,1
T1082,custom,attack,60702,1
T1082,custom,benign,92004,8
T1082,custom,benign,92032,4
T1082,custom,benign,100230,4
T1082,custom,benign,100231,4
T1082,custom,benign,100232,4
T1082,custom,benign,100233,4
T1082,custom,benign,60702,1
T1087.001,custom,attack,100200,25
T1087.001,custom,attack,92052,10
T1087.001,custom,attack,92032,10
T1087.001,custom,attack,92027,5
T1087.001,custom,benign,100200,10
T1087.001,custom,benign,92004,5
