session_id,type,technique_id,technique_name,atomic_test_numbers,window_start,window_end,ruleset_phase,operator_context,defender_realtime_off,notes
20260808-050708-attack-r1,attack,T1136.001,,"4;5;8;9",2026-08-08 05:07:08,2026-08-08 05:08:43,custom,atomic-red-team,True,
20260808-051316-attack-r2,attack,T1136.001,,"4;5;8;9",2026-08-08 05:13:16,2026-08-08 05:13:58,custom,atomic-red-team,True,
20260808-051757-attack-r3,attack,T1136.001,,"4;5;8;9",2026-08-08 05:17:57,2026-08-08 05:18:17,custom,atomic-red-team,True,
20260808-052120-attack-r4,attack,T1136.001,,"4;5;8;9",2026-08-08 05:21:20,2026-08-08 05:21:54,custom,atomic-red-team,True,
20260808-052758-attack-r5,attack,T1136.001,,"4;5;8;9",2026-08-08 05:27:58,2026-08-08 05:28:26,custom,atomic-red-team,True,
20260808-053331-benign-r1,benign,T1136.001,,"",2026-08-08 05:33:31,2026-08-08 05:33:35,custom,interactive-admin,True,
20260808-053808-benign-r2,benign,T1136.001,,"",2026-08-08 05:38:08,2026-08-08 05:38:13,custom,interactive-admin,True,
20260808-054140-benign-r3,benign,T1136.001,,"",2026-08-08 05:41:40,2026-08-08 05:41:42,custom,interactive-admin,True,
20260808-054634-benign-r4,benign,T1136.001,,"",2026-08-08 05:46:34,2026-08-08 05:46:38,custom,interactive-admin,True,
20260808-054959-benign-r5,benign,T1136.001,,"",2026-08-08 05:49:59,2026-08-08 05:50:03,custom,interactive-admin,True,
