session_id,type,technique_id,technique_name,atomic_test_numbers,window_start,window_end,ruleset_phase,operator_context,defender_realtime_off,notes
20260807-231042-attack-r1,attack,T1059.003,,"1;2;5;6",2026-08-07 23:10:42,2026-08-07 23:11:00,baseline,atomic-red-team,True,
20260807-231208-attack-r2,attack,T1059.003,,"1;2;5;6",2026-08-07 23:12:08,2026-08-07 23:12:16,baseline,atomic-red-team,True,
20260807-231340-attack-r3,attack,T1059.003,,"1;2;5;6",2026-08-07 23:13:40,2026-08-07 23:14:03,baseline,atomic-red-team,True,
20260807-231435-attack-r4,attack,T1059.003,,"1;2;5;6",2026-08-07 23:14:35,2026-08-07 23:14:37,baseline,atomic-red-team,True,
20260807-231534-attack-r5,attack,T1059.003,,"1;2;5;6",2026-08-07 23:15:34,2026-08-07 23:15:40,baseline,atomic-red-team,True,
20260807-231723-benign-r1,benign,T1059.003,,"",2026-08-07 23:17:23,2026-08-07 23:17:33,baseline,interactive-admin,True,
20260807-231820-benign-r2,benign,T1059.003,,"",2026-08-07 23:18:20,2026-08-07 23:18:27,baseline,interactive-admin,True,
20260807-231924-benign-r3,benign,T1059.003,,"",2026-08-07 23:19:24,2026-08-07 23:19:32,baseline,interactive-admin,True,
20260807-232039-benign-r4,benign,T1059.003,,"",2026-08-07 23:20:39,2026-08-07 23:20:48,baseline,interactive-admin,True,
20260807-232203-benign-r5,benign,T1059.003,,"",2026-08-07 23:22:03,2026-08-07 23:22:09,baseline,interactive-admin,True,
