session_id,type,technique_id,technique_name,atomic_test_numbers,window_start,window_end,operator_context,defender_realtime_off,notes
20260806-091713-attack-r1,attack,T1082,,"1;7;9;11;27;29;30;34;35;36;37;38;39;40",2026-08-06 09:17:13,2026-08-06 09:18:15,atomic-red-team,True,
20260806-091909-attack-r2,attack,T1082,,"1;7;9;11;27;29;30;34;35;36;37;38;39;40",2026-08-06 09:19:09,2026-08-06 09:20:09,atomic-red-team,True,
20260806-092238-attack-r3,attack,T1082,,"1;7;9;11;27;29;30;34;35;36;37;38;39;40",2026-08-06 09:22:38,2026-08-06 09:23:29,atomic-red-team,True,
20260806-092426-attack-r4,attack,T1082,,"1;7;9;11;27;29;30;34;35;36;37;38;39;40",2026-08-06 09:24:26,2026-08-06 09:28:15,atomic-red-team,True,
20260806-092955-attack-r5,attack,T1082,,"1;7;9;11;27;29;30;34;35;36;37;38;39;40",2026-08-06 09:29:55,2026-08-06 09:30:13,atomic-red-team,True,
20260806-093158-benign-r1,benign,T1082,,"",2026-08-06 09:31:58,2026-08-06 09:32:17,interactive-admin,True,
20260806-093349-benign-r2,benign,T1082,,"",2026-08-06 09:33:49,2026-08-06 09:34:02,interactive-admin,True,
20260806-093559-benign-r3,benign,T1082,,"",2026-08-06 09:35:59,2026-08-06 09:36:13,interactive-admin,True,
20260806-093712-benign-r4,benign,T1082,,"",2026-08-06 09:37:12,2026-08-06 09:37:21,interactive-admin,True,
20260806-093918-benign-r5,benign,T1082,,"",2026-08-06 09:39:18,2026-08-06 09:39:39,interactive-admin,True,
