features,split,classifier,attack_precision,attack_recall,attack_f1,benign_precision,benign_recall,benign_f1,macro_f1,pr_auc
A_full,GroupKFold(5) by window,RandomForest,0.9485338120885697,0.825951016154247,0.883008356545961,0.6699604743083004,0.887434554973822,0.7635135135135135,0.8232609350297373,0.9774476372393731
B_no_rule,GroupKFold(5) by window,RandomForest,0.9583057577763071,0.7545596664929651,0.8443148688046648,0.5981228668941979,0.9175392670157068,0.7241735537190083,0.7842442112618365,0.9725765848482224
C_text_only,GroupKFold(5) by window,RandomForest,0.9830258302583026,0.6941115164147994,0.8136835675015271,0.5579819277108434,0.9698952879581152,0.7084130019120459,0.7610482847067865,0.9616402649658349
A_full,LeaveOneTechniqueOut,RandomForest,0.7502645502645503,0.7389265242313705,0.7445523759516933,0.3682219419924338,0.38219895287958117,0.37508028259473347,0.5598163292732135,0.7359929585043247
B_no_rule,LeaveOneTechniqueOut,RandomForest,0.7433679354094579,0.6717040125065138,0.7057213249384068,0.3361433087460485,0.4175392670157068,0.37244600116754234,0.5390836630529745,0.7359448021516357
C_text_only,LeaveOneTechniqueOut,RandomForest,0.7626538987688098,0.5810317873892652,0.6595681750961254,0.3415233415233415,0.5458115183246073,0.42015113350125943,0.5398596542986924,0.7208530440936529
BASELINE: severity >= 6,n/a (no training),,0.6925287356321839,0.3767587285044294,0.48801889976375296,0.27028676021964615,0.5798429319371727,0.3687057844361215,0.42836234209993723,nan
BASELINE: severity >= 8,n/a (no training),,0.6917073170731707,0.36946326211568525,0.48165760869565216,0.27020506634499397,0.5863874345549738,0.3699421965317919,0.425799902613722,nan
BASELINE: severity >= 10,n/a (no training),,0.7281553398058253,0.19541427826993227,0.30813475760065734,0.2878228782287823,0.8167539267015707,0.4256480218281037,0.3668913897143805,nan
BASELINE: severity >= 12,n/a (no training),,0.7908496732026143,0.06305367378843148,0.1167953667953668,0.2893280632411067,0.9581151832460733,0.4444444444444444,0.28061990561990563,nan
BASELINE: any custom rule fired,n/a (no training),,0.6803977272727273,0.24960917144346015,0.36523065192527643,0.27235977766548763,0.7054973821989529,0.3930003645643456,0.379115508244811,nan
BASELINE: alert tagged with the technique,n/a (no training),,0.7146433041301627,0.2975508077123502,0.4201618837380427,0.28450106157112526,0.7015706806282722,0.40483383685800606,0.4124978602980244,nan
B_no_rule [RandomForest],GroupKFold(5) by window,RandomForest,0.9583057577763071,0.7545596664929651,0.8443148688046648,0.5981228668941979,0.9175392670157068,0.7241735537190083,0.7842442112618365,0.9725765848482224
B_no_rule [RandomForest],LeaveOneTechniqueOut,RandomForest,0.7433679354094579,0.6717040125065138,0.7057213249384068,0.3361433087460485,0.4175392670157068,0.37244600116754234,0.5390836630529745,0.7359448021516357
B_no_rule [XGBoost],GroupKFold(5) by window,XGBoost,0.9555702917771883,0.7509119332985931,0.8409687773562883,0.5931914893617021,0.912303664921466,0.7189272821041774,0.7799480297302328,0.9710118953025417
B_no_rule [XGBoost],LeaveOneTechniqueOut,XGBoost,0.7703659976387249,0.6800416883793643,0.7223913645170219,0.37917087967644086,0.4908376963350785,0.4278379920136908,0.5751146782653563,0.7419060257246716
